Invoice_id,Cust_id,Year,Product,Product,Sales
99,58,2015,4,home appliances,360
100,69,2016,2,digital,409
101,182,2019,4,home appliances,902
102,131,2016,3,sports items,949
103,55,2017,4,home appliances,812
104,10,2015,1,electronics,882
105,43,2016,1,electronics,875
106,152,2019,4,home appliances,726
107,49,2017,1,electronics,760
108,206,2017,3,sports items,877
109,36,2016,2,digital,477
110,145,2018,1,electronics,316
111,155,2016,4,home appliances,799
112,38,2015,4,home appliances,116
113,24,2018,2,digital,95
114,57,2018,3,sports items,522
115,164,2018,4,home appliances,440
116,27,2018,3,sports items,422
117,29,2019,2,digital,764
118,5,2016,4,home appliances,182
119,84,2018,3,sports items,228
120,58,2015,3,sports items,855
121,244,2017,4,home appliances,700
122,49,2018,1,electronics,454
123,164,2018,1,electronics,705
124,98,2014,3,sports items,501
125,84,2018,4,home appliances,397
126,132,2015,1,electronics,577
127,52,2018,3,sports items,589
128,129,2014,4,home appliances,139
129,120,2017,2,digital,439
130,102,2015,3,sports items,266
131,147,2017,1,electronics,737
132,192,2014,3,sports items,166
133,64,2016,4,home appliances,389
134,85,2015,4,home appliances,256
135,111,2016,4,home appliances,274
136,74,2017,4,home appliances,738
137,23,2017,4,home appliances,597
138,178,2016,2,digital,693
139,62,2015,1,electronics,161
140,125,2015,4,home appliances,429
141,154,2015,3,sports items,361
142,86,2014,1,electronics,509
143,166,2016,1,electronics,430
144,10,2017,1,electronics,851
145,182,2019,4,home appliances,909
146,191,2019,1,electronics,929
147,82,2019,4,home appliances,121
148,15,2017,3,sports items,244
149,134,2018,1,electronics,642
150,73,2019,3,sports items,912
151,182,2017,2,digital,537
152,103,2017,3,sports items,664
153,195,2018,3,sports items,324
154,171,2017,2,digital,699
155,147,2014,2,digital,160
156,183,2016,4,home appliances,630
157,52,2016,4,home appliances,841
158,191,2016,3,sports items,675
159,57,2017,2,digital,371
160,177,2016,4,home appliances,437
161,167,2017,4,home appliances,88
162,64,2017,2,digital,278
163,8,2015,1,electronics,381
164,100,2014,2,digital,602
165,104,2017,3,sports items,827
166,9,2015,1,electronics,836
167,123,2015,1,electronics,753
168,153,2019,4,home appliances,934
169,25,2015,3,sports items,697
170,137,2015,1,electronics,759
171,234,2018,3,sports items,843
172,145,2019,2,digital,142
173,61,2016,3,sports items,304
174,222,2014,4,home appliances,849
175,3,2017,2,digital,693
176,199,2015,2,digital,297
177,182,2016,1,electronics,397
178,230,2017,3,sports items,624
179,153,2019,4,home appliances,485
180,182,2015,1,electronics,276
181,97,2018,1,electronics,757
182,243,2017,2,digital,718
183,99,2019,4,home appliances,196
184,192,2015,3,sports items,281
185,108,2015,1,electronics,576
186,84,2018,4,home appliances,475
187,47,2015,3,sports items,394
188,181,2015,2,digital,759
189,165,2018,2,digital,855
190,14,2017,2,digital,497
191,80,2015,2,digital,939
192,26,2018,1,electronics,923
193,126,2017,3,sports items,238
194,126,2014,1,electronics,747
195,10,2017,3,sports items,394
196,204,2016,2,digital,212
197,103,2015,3,sports items,465
198,248,2016,3,sports items,185
199,104,2019,4,home appliances,766
200,66,2017,2,digital,644
201,106,2019,2,digital,252
202,96,2015,2,digital,698
203,58,2019,1,electronics,813
204,37,2015,3,sports items,893
205,245,2016,2,digital,82
206,106,2015,4,home appliances,782
207,119,2017,1,electronics,157
208,204,2015,4,home appliances,346
209,106,2014,1,electronics,768
210,79,2019,2,digital,385
211,77,2016,3,sports items,673
212,78,2016,1,electronics,463
213,168,2016,4,home appliances,462
214,225,2016,3,sports items,489
215,240,2015,2,digital,83
216,35,2017,2,digital,750
217,148,2016,3,sports items,504
218,161,2019,2,digital,914
219,218,2017,1,electronics,850
220,1,2017,1,electronics,589
221,157,2019,1,electronics,669
222,87,2015,4,home appliances,803
223,10,2016,1,electronics,225
224,203,2016,1,electronics,600
225,210,2018,2,digital,105
226,110,2015,2,digital,171
227,148,2015,1,electronics,339
228,147,2017,3,sports items,458
229,58,2018,1,electronics,349
230,14,2017,4,home appliances,301
231,69,2015,2,digital,447
232,216,2016,2,digital,263
233,185,2018,2,digital,146
234,31,2018,3,sports items,792
235,69,2017,2,digital,193
236,207,2016,4,home appliances,155
237,174,2014,1,electronics,236
238,248,2016,1,electronics,682
239,154,2017,1,electronics,604
240,218,2018,1,electronics,477
241,236,2017,2,digital,598
242,11,2015,1,electronics,791
243,21,2018,4,home appliances,486
244,192,2015,1,electronics,590
245,208,2016,1,electronics,304
246,176,2017,1,electronics,878
247,54,2014,3,sports items,54
248,183,2015,4,home appliances,749
249,115,2015,3,sports items,431
250,236,2017,4,home appliances,313
251,151,2015,4,home appliances,909
252,170,2015,2,digital,333
253,72,2019,1,electronics,361
254,237,2014,1,electronics,716
255,244,2017,2,digital,593
256,12,2014,1,electronics,942
257,85,2017,3,sports items,298
258,106,2019,3,sports items,564
259,143,2016,3,sports items,826
260,109,2019,1,electronics,243
261,128,2014,2,digital,658
262,114,2017,1,electronics,111
263,227,2016,1,electronics,325
264,226,2018,2,digital,207
265,191,2015,3,sports items,294
266,74,2017,2,digital,899
267,76,2014,1,electronics,908
268,197,2018,4,home appliances,477
269,158,2015,2,digital,612
270,171,2015,1,electronics,226
271,223,2017,4,home appliances,351
272,100,2014,2,digital,269
273,181,2014,4,home appliances,742
274,150,2017,3,sports items,622
275,39,2015,3,sports items,480
276,4,2019,3,sports items,342
277,33,2014,1,electronics,210
278,242,2018,4,home appliances,201
279,160,2019,2,digital,872
280,173,2015,3,sports items,314
281,169,2014,2,digital,370
282,14,2014,3,sports items,915
283,137,2019,1,electronics,63
284,89,2019,3,sports items,898
285,12,2017,4,home appliances,383
286,56,2019,4,home appliances,226
287,90,2015,1,electronics,102
288,164,2014,4,home appliances,374
289,174,2017,1,electronics,418
290,81,2014,3,sports items,711
291,229,2019,2,digital,348
292,177,2016,2,digital,137
293,219,2018,3,sports items,558
294,66,2014,1,electronics,378
295,217,2015,1,electronics,639
296,128,2015,3,sports items,545
297,181,2015,4,home appliances,93
298,59,2019,4,home appliances,892
299,120,2018,3,sports items,248
300,59,2014,4,home appliances,822
301,140,2015,2,digital,415
302,219,2016,3,sports items,497
303,62,2014,4,home appliances,63
304,49,2015,2,digital,795
305,46,2019,2,digital,839
306,183,2018,4,home appliances,78
307,40,2014,1,electronics,623
308,98,2015,1,electronics,176
309,69,2015,1,electronics,803
310,145,2016,4,home appliances,255
311,222,2017,3,sports items,664
312,146,2015,3,sports items,95
313,154,2014,2,digital,456
314,153,2015,3,sports items,800
315,130,2014,2,digital,818
316,180,2017,4,home appliances,532
317,82,2016,1,electronics,566
318,117,2019,3,sports items,762
319,147,2018,3,sports items,53
320,58,2015,1,electronics,671
321,51,2014,2,digital,139
322,229,2019,1,electronics,306
323,197,2014,3,sports items,53
324,220,2019,4,home appliances,297
325,145,2014,4,home appliances,441
326,108,2014,4,home appliances,904
327,22,2018,4,home appliances,428
328,221,2014,4,home appliances,512
329,237,2019,2,digital,271
330,57,2015,1,electronics,862
331,199,2016,2,digital,406
332,79,2018,4,home appliances,134
333,199,2014,4,home appliances,395
334,184,2019,3,sports items,534
335,205,2019,1,electronics,843
336,170,2014,2,digital,210
337,74,2018,4,home appliances,643
338,20,2016,2,digital,281
339,117,2019,1,electronics,807
340,171,2014,2,digital,537
341,127,2015,4,home appliances,412
342,59,2017,4,home appliances,606
343,122,2019,4,home appliances,596
344,91,2014,3,sports items,799
345,211,2017,1,electronics,316
346,226,2014,3,sports items,292
347,59,2015,1,electronics,880
348,20,2018,2,digital,717
349,206,2014,1,electronics,609
350,239,2015,3,sports items,692
351,5,2019,3,sports items,367
352,179,2014,1,electronics,295
353,113,2019,4,home appliances,64
354,219,2019,4,home appliances,413
355,221,2018,4,home appliances,725
356,65,2018,1,electronics,828
357,135,2015,2,digital,761
358,43,2017,3,sports items,264
359,207,2018,4,home appliances,324
360,165,2017,4,home appliances,477
361,127,2019,4,home appliances,797
362,243,2014,3,sports items,931
363,152,2014,2,digital,712
364,223,2015,3,sports items,868
365,64,2014,3,sports items,221
366,54,2018,2,digital,243
367,196,2014,3,sports items,756
368,59,2015,3,sports items,463
369,105,2016,2,digital,866
370,137,2018,4,home appliances,905
371,32,2015,2,digital,121
372,227,2016,2,digital,343
373,153,2018,2,digital,138
374,244,2017,4,home appliances,897
375,108,2014,1,electronics,806
376,180,2014,2,digital,271
377,77,2015,1,electronics,578
378,181,2014,3,sports items,757
379,221,2018,4,home appliances,768
380,215,2019,4,home appliances,645
381,215,2018,1,electronics,281
382,179,2019,4,home appliances,632
383,94,2015,1,electronics,660
384,128,2014,1,electronics,814
385,50,2015,2,digital,299
386,199,2016,4,home appliances,362
387,42,2019,3,sports items,698
388,125,2016,4,home appliances,253
389,148,2018,2,digital,269
390,132,2015,2,digital,524
391,124,2017,2,digital,126
392,86,2015,2,digital,713
393,235,2015,2,digital,946
394,67,2019,2,digital,185
395,10,2016,4,home appliances,123
396,47,2017,1,electronics,726
397,249,2015,2,digital,533
398,201,2016,3,sports items,433
399,59,2016,4,home appliances,427
400,50,2018,2,digital,324
401,228,2018,3,sports items,586
402,203,2019,3,sports items,769
403,35,2019,2,digital,150
404,125,2015,2,digital,149
405,77,2017,2,digital,847
406,229,2018,3,sports items,613
407,127,2017,3,sports items,339
408,58,2018,1,electronics,116
409,194,2014,2,digital,825
410,200,2017,3,sports items,69
411,207,2019,2,digital,741
412,148,2016,1,electronics,224
413,123,2018,4,home appliances,238
414,236,2014,2,digital,607
415,227,2014,4,home appliances,302
416,126,2015,2,digital,679
417,218,2014,3,sports items,486
418,180,2017,2,digital,123
419,82,2019,2,digital,582
420,93,2015,1,electronics,810
421,223,2014,2,digital,365
422,221,2019,2,digital,532
423,73,2017,4,home appliances,724
424,197,2016,1,electronics,454
425,96,2017,1,electronics,716
426,134,2017,3,sports items,802
427,30,2018,2,digital,496
428,193,2019,2,digital,505
429,76,2017,4,home appliances,79
430,40,2016,4,home appliances,289
431,43,2019,1,electronics,429
432,25,2016,1,electronics,571
433,203,2017,2,digital,335
434,119,2017,2,digital,724
435,30,2019,3,sports items,351
436,243,2019,4,home appliances,832
437,147,2016,2,digital,654
438,59,2015,4,home appliances,252
439,51,2014,3,sports items,638
440,4,2017,3,sports items,554
441,124,2014,4,home appliances,51
442,66,2015,4,home appliances,216
443,241,2018,2,digital,82
444,142,2019,3,sports items,943
445,100,2017,2,digital,89
446,124,2017,2,digital,688
447,136,2019,3,sports items,419
448,74,2016,1,electronics,86
449,23,2018,3,sports items,212
450,89,2018,2,digital,368
451,15,2017,3,sports items,538
452,244,2019,3,sports items,202
453,65,2014,2,digital,937
454,206,2016,1,electronics,331
455,235,2019,2,digital,261
456,107,2019,2,digital,205
457,83,2016,3,sports items,516
458,53,2015,4,home appliances,564
459,119,2018,4,home appliances,418
460,182,2016,1,electronics,932
461,2,2018,1,electronics,382
462,193,2015,3,sports items,567
463,121,2018,4,home appliances,868
464,159,2019,1,electronics,781
465,149,2018,1,electronics,400
466,81,2018,1,electronics,164
467,12,2017,3,sports items,170
468,2,2016,1,electronics,743
469,226,2019,1,electronics,497
470,239,2017,4,home appliances,513
471,111,2016,4,home appliances,466
472,26,2018,1,electronics,756
473,159,2018,2,digital,687
474,176,2014,1,electronics,55
475,5,2016,2,digital,660
476,125,2018,4,home appliances,707
477,153,2014,4,home appliances,845
478,124,2016,4,home appliances,295
479,51,2019,3,sports items,478
480,150,2016,4,home appliances,59
481,200,2018,3,sports items,847
482,3,2018,4,home appliances,394
483,230,2016,4,home appliances,796
484,211,2017,3,sports items,620
485,222,2016,3,sports items,283
486,204,2015,2,digital,417
487,223,2014,2,digital,608
488,238,2015,1,electronics,235
489,165,2018,3,sports items,702
490,244,2019,3,sports items,338
491,44,2015,2,digital,189
492,234,2015,2,digital,466
493,164,2017,2,digital,637
494,4,2017,2,digital,145
495,109,2014,4,home appliances,638
496,119,2018,2,digital,244
497,233,2018,4,home appliances,609
498,125,2017,4,home appliances,557
499,114,2014,2,digital,635
500,131,2019,2,digital,102
501,227,2019,1,electronics,145
502,198,2014,1,electronics,524
503,181,2018,4,home appliances,724
504,42,2019,4,home appliances,638
505,79,2019,2,digital,375
506,63,2017,3,sports items,450
507,108,2014,4,home appliances,140
508,70,2015,2,digital,568
509,119,2015,4,home appliances,275
510,237,2016,4,home appliances,908
511,53,2018,3,sports items,393
512,105,2016,1,electronics,744
513,136,2017,1,electronics,845
514,239,2015,2,digital,297
515,7,2014,2,digital,225
516,220,2014,4,home appliances,79
517,79,2018,1,electronics,581
518,25,2016,4,home appliances,484
519,170,2016,2,digital,310
520,24,2019,1,electronics,564
521,99,2014,1,electronics,565
522,76,2015,2,digital,408
523,84,2018,1,electronics,697
524,174,2014,2,digital,160
525,154,2014,1,electronics,822
526,230,2018,4,home appliances,585
527,125,2016,2,digital,793
528,196,2016,4,home appliances,326
529,178,2017,1,electronics,76
530,45,2017,1,electronics,821
531,100,2016,1,electronics,542
532,141,2018,4,home appliances,609
533,60,2017,1,electronics,385
534,236,2019,2,digital,662
535,242,2017,2,digital,73
536,53,2017,3,sports items,328
537,109,2015,3,sports items,479
538,140,2019,1,electronics,162
539,93,2017,3,sports items,281
540,238,2015,1,electronics,763
541,164,2016,1,electronics,93
542,232,2018,3,sports items,264
543,165,2015,2,digital,592
544,210,2017,2,digital,425
545,235,2016,1,electronics,603
546,158,2015,3,sports items,489
547,75,2016,3,sports items,766
548,113,2019,4,home appliances,891
549,144,2015,4,home appliances,858
550,35,2019,2,digital,203
551,52,2014,3,sports items,382
552,30,2018,3,sports items,233
553,10,2018,1,electronics,946
554,91,2019,3,sports items,849
555,26,2014,4,home appliances,153
556,106,2015,4,home appliances,118
557,121,2018,3,sports items,627
558,107,2019,3,sports items,505
559,100,2019,4,home appliances,466
560,5,2018,2,digital,801
561,2,2014,1,electronics,831
562,139,2014,4,home appliances,899
563,145,2015,3,sports items,86
564,211,2019,1,electronics,319
565,122,2016,1,electronics,396
566,226,2019,2,digital,441
567,153,2019,3,sports items,494
568,146,2016,2,digital,171
569,133,2017,4,home appliances,816
570,85,2019,3,sports items,926
571,132,2016,2,digital,268
572,232,2014,3,sports items,69
573,145,2016,1,electronics,249
574,85,2018,2,digital,480
575,225,2016,1,electronics,778
576,179,2016,4,home appliances,89
577,169,2014,4,home appliances,440
578,23,2016,2,digital,693
579,130,2015,4,home appliances,852
580,72,2018,4,home appliances,356
581,82,2018,1,electronics,78
582,86,2016,1,electronics,872
583,3,2015,3,sports items,738
584,200,2019,3,sports items,122
585,166,2015,3,sports items,413
586,180,2016,4,home appliances,184
587,198,2015,2,digital,156
588,97,2014,2,digital,562
589,19,2018,3,sports items,491
590,78,2018,4,home appliances,561
591,41,2014,3,sports items,675
592,228,2018,4,home appliances,481
593,220,2018,4,home appliances,312
594,52,2019,1,electronics,342
595,126,2018,4,home appliances,567
596,169,2014,3,sports items,529
597,27,2017,1,electronics,574
598,171,2014,4,home appliances,654
599,134,2019,1,electronics,296
600,11,2019,4,home appliances,563
601,219,2019,1,electronics,820
602,240,2015,1,electronics,135
603,216,2014,1,electronics,316
604,224,2019,3,sports items,198
605,237,2014,2,digital,122
606,12,2019,3,sports items,948
607,21,2019,4,home appliances,846
608,197,2018,4,home appliances,887
609,49,2018,3,sports items,105
610,23,2018,2,digital,779
611,26,2017,4,home appliances,783
612,131,2019,1,electronics,109
613,133,2015,1,electronics,762
614,119,2015,4,home appliances,297
615,237,2014,1,electronics,838
616,229,2017,2,digital,720
617,120,2018,3,sports items,214
618,218,2019,2,digital,526
619,70,2017,4,home appliances,559
620,238,2018,3,sports items,659
621,135,2019,2,digital,935
622,107,2015,4,home appliances,842
623,243,2017,1,electronics,902
624,117,2019,4,home appliances,843
625,112,2014,3,sports items,377
626,111,2018,2,digital,586
627,103,2018,2,digital,424
628,8,2015,3,sports items,192
629,204,2019,3,sports items,857
630,119,2019,1,electronics,870
631,167,2016,1,electronics,233
632,230,2018,1,electronics,520
633,102,2019,1,electronics,543
634,121,2016,2,digital,869
635,188,2016,3,sports items,669
636,183,2019,3,sports items,629
637,98,2019,2,digital,201
638,155,2014,1,electronics,189
639,246,2016,2,digital,157
640,20,2019,4,home appliances,902
641,54,2015,3,sports items,626
642,27,2017,3,sports items,341
643,133,2014,3,sports items,482
644,102,2018,3,sports items,460
645,181,2016,4,home appliances,267
646,15,2017,3,sports items,224
647,238,2015,2,digital,742
648,8,2016,3,sports items,574
649,226,2018,1,electronics,277
650,11,2018,3,sports items,887
651,198,2014,2,digital,297
652,147,2015,1,electronics,89
653,208,2014,1,electronics,616
654,64,2017,1,electronics,797
655,79,2016,3,sports items,929
656,121,2015,4,home appliances,147
657,155,2015,3,sports items,746
658,51,2017,4,home appliances,71
659,186,2017,3,sports items,549
660,245,2016,4,home appliances,635
661,13,2014,4,home appliances,695
662,187,2016,3,sports items,307
663,157,2018,2,digital,719
664,244,2017,2,digital,502
665,90,2014,1,electronics,859
666,29,2015,3,sports items,727
667,215,2016,3,sports items,221
668,220,2018,2,digital,742
669,42,2014,4,home appliances,474
670,243,2016,3,sports items,882
671,70,2018,4,home appliances,775
672,225,2018,3,sports items,732
673,97,2017,1,electronics,296
674,16,2017,4,home appliances,694
675,250,2018,4,home appliances,800
676,161,2015,1,electronics,733
677,209,2018,1,electronics,509
678,126,2014,4,home appliances,449
679,107,2019,1,electronics,853
680,108,2014,1,electronics,681
681,150,2014,3,sports items,175
682,13,2014,4,home appliances,286
683,81,2017,4,home appliances,903
684,61,2016,3,sports items,576
685,219,2018,2,digital,83
686,206,2014,2,digital,405
687,79,2018,4,home appliances,208
688,172,2017,3,sports items,87
689,15,2019,4,home appliances,302
690,141,2019,2,digital,327
691,211,2018,1,electronics,341
692,91,2016,1,electronics,170
693,101,2015,1,electronics,841
694,37,2015,4,home appliances,458
695,128,2019,4,home appliances,367
696,175,2014,3,sports items,499
697,195,2014,2,digital,908
698,208,2016,4,home appliances,657
699,232,2017,4,home appliances,427
700,139,2018,1,electronics,50
701,35,2014,4,home appliances,284
702,164,2016,3,sports items,367
703,163,2015,1,electronics,525
704,174,2019,4,home appliances,455
705,50,2019,3,sports items,393
706,40,2015,3,sports items,307
707,193,2017,3,sports items,283
708,42,2016,2,digital,105
709,13,2018,4,home appliances,340
710,116,2017,1,electronics,124
711,43,2018,3,sports items,149
712,9,2017,2,digital,266
713,233,2019,4,home appliances,324
714,182,2019,1,electronics,596
715,2,2016,4,home appliances,572
716,136,2016,1,electronics,776
717,60,2017,3,sports items,915
718,38,2018,2,digital,852
719,144,2014,3,sports items,664
720,108,2016,1,electronics,107
721,195,2015,1,electronics,210
722,58,2017,4,home appliances,308
723,57,2019,4,home appliances,557
724,207,2015,4,home appliances,690
725,88,2016,4,home appliances,542
726,199,2019,2,digital,168
727,155,2014,1,electronics,825
728,99,2014,1,electronics,941
729,73,2019,4,home appliances,745
730,108,2014,1,electronics,154
731,214,2014,3,sports items,531
732,212,2017,4,home appliances,485
733,123,2017,3,sports items,117
734,39,2019,4,home appliances,744
735,160,2016,3,sports items,80
736,127,2015,2,digital,634
737,51,2019,4,home appliances,770
738,119,2015,4,home appliances,918
739,198,2016,3,sports items,845
740,215,2016,1,electronics,610
741,116,2015,1,electronics,687
742,229,2018,4,home appliances,219
743,126,2015,2,digital,542
744,45,2014,4,home appliances,102
745,100,2014,2,digital,292
746,230,2018,2,digital,338
747,170,2017,1,electronics,715
748,209,2016,3,sports items,222
749,197,2017,4,home appliances,915
750,71,2018,2,digital,392
751,184,2016,4,home appliances,649
752,238,2019,2,digital,275
753,199,2017,2,digital,490
754,245,2018,3,sports items,283
755,219,2019,3,sports items,789
756,246,2017,2,digital,391
757,47,2018,2,digital,741
758,158,2016,4,home appliances,914
759,147,2019,1,electronics,120
760,100,2015,1,electronics,893
761,117,2018,2,digital,777
762,165,2015,4,home appliances,167
763,92,2014,4,home appliances,101
764,6,2015,3,sports items,896
765,50,2015,1,electronics,161
766,196,2019,4,home appliances,657
767,16,2019,1,electronics,183
768,248,2015,3,sports items,424
769,241,2017,1,electronics,455
770,57,2017,4,home appliances,880
771,184,2019,2,digital,563
772,232,2019,3,sports items,96
773,156,2016,1,electronics,698
774,117,2017,1,electronics,842
775,217,2014,2,digital,62
776,131,2018,3,sports items,935
777,207,2014,3,sports items,232
778,94,2014,2,digital,548
779,114,2019,3,sports items,63
780,216,2017,4,home appliances,70
781,78,2015,4,home appliances,943
782,23,2015,1,electronics,62
783,27,2017,4,home appliances,601
784,48,2019,1,electronics,114
785,140,2016,3,sports items,854
786,56,2019,4,home appliances,856
787,19,2017,1,electronics,495
788,80,2018,2,digital,544
789,134,2019,4,home appliances,509
790,155,2016,3,sports items,766
791,77,2014,2,digital,486
792,199,2015,3,sports items,59
793,39,2015,4,home appliances,394
794,14,2019,1,electronics,329
795,93,2019,1,electronics,108
796,205,2017,1,electronics,263
797,244,2016,2,digital,745
798,210,2019,3,sports items,779
799,111,2014,2,digital,840
800,145,2019,1,electronics,875
801,78,2017,4,home appliances,903
802,124,2014,2,digital,219
803,39,2014,4,home appliances,467
804,74,2016,1,electronics,141
805,170,2015,1,electronics,571
806,71,2015,2,digital,148
807,213,2015,1,electronics,350
808,41,2017,4,home appliances,63
809,76,2015,3,sports items,99
810,57,2019,4,home appliances,511
811,42,2019,1,electronics,754
812,28,2019,2,digital,237
813,104,2017,4,home appliances,681
814,143,2014,3,sports items,141
815,231,2018,3,sports items,740
816,95,2018,1,electronics,866
817,158,2017,1,electronics,761
818,225,2014,4,home appliances,358
819,83,2018,1,electronics,656
820,96,2019,4,home appliances,63
821,147,2015,4,home appliances,786
822,53,2016,1,electronics,762
823,33,2016,4,home appliances,357
824,193,2014,1,electronics,338
825,147,2017,3,sports items,815
826,137,2016,2,digital,330
827,36,2014,2,digital,717
828,190,2017,4,home appliances,606
829,30,2017,2,digital,487
830,81,2018,3,sports items,820
831,235,2019,1,electronics,741
832,194,2014,2,digital,811
833,154,2017,4,home appliances,576
834,115,2017,3,sports items,158
835,243,2014,1,electronics,740
836,75,2016,2,digital,339
837,115,2017,2,digital,254
838,112,2019,1,electronics,761
839,171,2018,1,electronics,203
840,129,2016,2,digital,363
841,250,2019,2,digital,580
842,83,2017,4,home appliances,441
843,119,2016,3,sports items,649
844,8,2018,4,home appliances,115
845,204,2018,3,sports items,947
846,191,2016,4,home appliances,257
847,81,2019,2,digital,894
848,120,2014,3,sports items,636
849,32,2017,1,electronics,860
850,114,2018,4,home appliances,237
851,249,2019,3,sports items,769
852,21,2016,3,sports items,332
853,203,2018,2,digital,641
854,51,2014,2,digital,216
855,136,2016,1,electronics,547
856,91,2018,4,home appliances,252
857,230,2015,4,home appliances,872
858,119,2017,1,electronics,102
859,93,2018,3,sports items,177
860,248,2018,4,home appliances,297
861,245,2015,2,digital,123
862,105,2015,3,sports items,121
863,56,2019,1,electronics,429
864,59,2014,3,sports items,430
865,10,2016,4,home appliances,815
866,130,2017,2,digital,465
867,72,2019,2,digital,912
868,88,2016,2,digital,886
869,230,2018,1,electronics,321
870,21,2019,4,home appliances,210
871,245,2014,2,digital,218
872,146,2016,1,electronics,235
873,214,2015,3,sports items,446
874,78,2014,1,electronics,681
875,158,2017,1,electronics,599
876,247,2015,4,home appliances,434
877,89,2018,1,electronics,424
878,129,2014,4,home appliances,801
879,133,2015,3,sports items,632
880,164,2016,2,digital,427
881,149,2018,3,sports items,815
882,250,2014,3,sports items,480
883,40,2019,4,home appliances,386
884,22,2016,2,digital,716
885,2,2019,3,sports items,137
886,13,2017,2,digital,789
887,210,2018,4,home appliances,769
888,197,2019,1,electronics,302
889,45,2016,4,home appliances,852
890,220,2018,2,digital,942
891,161,2014,4,home appliances,734
892,208,2016,3,sports items,330
893,133,2017,4,home appliances,647
894,186,2015,3,sports items,216
895,57,2017,2,digital,892
896,113,2016,1,electronics,367
897,181,2018,4,home appliances,659
898,162,2015,1,electronics,664
899,154,2015,1,electronics,235
900,44,2015,1,electronics,100
901,59,2016,1,electronics,215
902,68,2016,3,sports items,772
903,160,2015,3,sports items,508
904,238,2015,4,home appliances,101
905,85,2015,3,sports items,429
906,228,2016,1,electronics,254
907,15,2019,1,electronics,418
908,44,2015,3,sports items,551
909,223,2017,1,electronics,501
910,1,2016,4,home appliances,591
911,182,2019,1,electronics,829
912,87,2016,3,sports items,597
913,218,2018,1,electronics,571
914,76,2017,1,electronics,311
915,157,2017,3,sports items,729
916,221,2016,3,sports items,783
917,73,2019,3,sports items,658
918,46,2018,2,digital,193
919,27,2016,1,electronics,222
920,231,2017,1,electronics,707
921,210,2015,4,home appliances,322
922,236,2016,1,electronics,926
923,217,2015,4,home appliances,411
924,159,2018,3,sports items,270
925,50,2014,3,sports items,559
926,59,2015,4,home appliances,485
927,43,2014,3,sports items,746
928,23,2015,1,electronics,926
